product_id,product_name,category,price
1,Product_1,home,51.52
2,Product_2,toys,291.25
3,Product_3,electronics,22.79
4,Product_4,toys,235.47
5,Product_5,home,273.61
6,Product_6,electronics,146.84
7,Product_7,toys,297.46
8,Product_8,toys,20.1
9,Product_9,home,23.49
10,Product_10,electronics,412.19
11,Product_11,home,183.29
12,Product_12,electronics,67.89
13,Product_13,books,263.51
14,Product_14,clothing,386.15
15,Product_15,clothing,111.83
16,Product_16,clothing,313.33
17,Product_17,home,47.25
18,Product_18,books,30.58
19,Product_19,electronics,268.02
20,Product_20,toys,272.61
21,Product_21,electronics,320.53
22,Product_22,toys,364.42
23,Product_23,electronics,488.05
24,Product_24,books,260.57
25,Product_25,toys,164.86
26,Product_26,home,398.62
27,Product_27,electronics,139.06
28,Product_28,electronics,222.29
29,Product_29,toys,43.84
30,Product_30,home,17.55
31,Product_31,home,481.51
32,Product_32,books,418.81
33,Product_33,home,349.51
34,Product_34,home,207.43
35,Product_35,home,90.78
36,Product_36,clothing,82.44
37,Product_37,books,128.87
38,Product_38,electronics,276.87
39,Product_39,toys,358.72
40,Product_40,electronics,331.8
41,Product_41,books,143.57
42,Product_42,toys,477.66
43,Product_43,books,370.26
44,Product_44,home,279.41
45,Product_45,toys,307.8
46,Product_46,home,212.7
47,Product_47,electronics,127.63
48,Product_48,electronics,181.21
49,Product_49,toys,380.13
50,Product_50,toys,12.12
51,Product_51,books,62.46
52,Product_52,books,27.77
53,Product_53,home,25.16
54,Product_54,toys,428.45
55,Product_55,electronics,353.31
56,Product_56,books,239.72
57,Product_57,books,53.43
58,Product_58,electronics,248.35
59,Product_59,books,239.37
60,Product_60,home,90.73
61,Product_61,toys,219.76
62,Product_62,electronics,202.26
63,Product_63,toys,309.85
64,Product_64,books,319.37
65,Product_65,books,27.43
66,Product_66,electronics,190.43
67,Product_67,home,314.8
68,Product_68,clothing,254.05
69,Product_69,electronics,428.96
70,Product_70,clothing,331.05
71,Product_71,clothing,85.65
72,Product_72,home,39.93
73,Product_73,clothing,323.0
74,Product_74,clothing,18.12
75,Product_75,home,294.96
76,Product_76,clothing,470.41
77,Product_77,clothing,289.86
78,Product_78,clothing,197.14
79,Product_79,electronics,323.43
80,Product_80,electronics,231.84
81,Product_81,electronics,275.08
82,Product_82,home,471.03
83,Product_83,books,196.12
84,Product_84,clothing,480.79
85,Product_85,clothing,453.15
86,Product_86,home,101.92
87,Product_87,clothing,39.33
88,Product_88,electronics,54.89
89,Product_89,books,14.02
90,Product_90,toys,51.75
91,Product_91,clothing,343.09
92,Product_92,electronics,40.24
93,Product_93,toys,162.89
94,Product_94,books,423.21
95,Product_95,toys,16.52
96,Product_96,electronics,408.16
97,Product_97,toys,144.52
98,Product_98,home,63.49
99,Product_99,toys,349.88
100,Product_100,clothing,316.33
