distancia_km,duracion_horas,coste,num_paradas,carga_kg
172.51801503754743,9.087255219427831,279.86076295853616,9,940.289759054243
421.02906379532783,9.32351247546422,764.5154395253028,14,6275.619267166281
271.74079363432185,2.843271769455024,340.1798806032809,3,3061.0299725848313
282.5704314846025,4.461356093899673,242.82314657881264,7,2170.728242814798
387.51587712160443,6.050329730544682,552.4555438284649,13,5905.496834737861
460.29525543105416,5.263125459588398,376.5846878008689,8,4603.407968515442
118.665854098115,7.904166417671763,707.3321524853832,2,3300.2349101473824
690.9497308531961,6.429629166976448,781.9614378496017,7,3227.8149688361327
237.63406573962408,8.531040576772297,819.0948727568989,4,2867.3481070967373
201.95031298899718,11.04554189644222,663.8344578755405,3,4667.901043556648
389.2088051114889,6.338345287789032,621.3754415958324,12,7756.723038065158
442.4530064814422,3.1325150437771843,238.57338957799138,12,4756.306703556743
195.27583963585693,4.2360269430869355,366.71327584420055,13,7434.910453052725
589.401130929167,3.1407106464329893,379.40409996728516,5,5612.866705625072
333.3523463083427,5.53702866587538,542.334709813812,11,8680.144547074095
587.9577531978938,7.323016834998696,385.4387079558798,5,7061.544610197165
537.4346262287711,5.697764036134025,454.0830649487076,5,3114.3175573178974
473.2355459755296,7.373386584748009,679.4199539851918,10,4126.585788625001
372.927292920282,7.383068246486127,578.6910616348007,2,1699.4657686648375
432.7962414802174,4.536836115947917,471.286425360773,10,8139.039510892138
238.39881823571758,6.519268422299165,453.4245396460007,1,7341.113878125422
238.33998169754113,6.056892528582499,360.4395421583932,8,6463.672816404776
450.2428837903755,7.823487804112684,180.4778506713274,4,1999.318656503457
20.0,1.4616212244489892,812.0144968827434,5,5391.433692245446
747.5356885259039,3.6462482715357045,384.38630593295215,12,4792.423496031546
263.4393665240909,5.046828873576736,670.6384604466442,11,500.0
264.05522994068406,8.179913990158285,241.11156678755265,2,2837.571492692754
319.95005525400586,7.467755018565731,408.73732650120326,13,8022.562637739446
191.91907803009278,5.5467296436716875,511.6874526923533,9,6660.379723286118
310.024224569979,6.94982252536325,270.60823983190886,13,4719.623851696407
20.0,1.3329453607745414,255.02413201671087,10,9807.290464811438
315.3697681451109,4.786706736962462,239.54846379062428,10,1207.1806736044728
403.3204135442423,9.634358239357393,545.0464400929532,11,5858.306853775921
532.210466044135,4.132658330662576,710.7088874112512,14,6532.026425877513
368.6064623321905,8.586225527161064,272.5632397396728,3,3393.491286940158
321.237976132924,6.3507352534871675,335.15535367212215,11,7316.283780060594
67.33017543053546,1.0,773.107566043125,5,6486.560959258137
266.7994460719279,6.701774055371337,449.3487185778155,10,4699.009451160984
673.2562438331577,6.173454885376088,392.5131506696772,4,4995.932911439518
237.0550143937653,6.607078215886649,409.1159266321365,8,6381.446075566133
597.7804635117535,2.7142906451256184,505.7790628878493,8,3222.687773829921
535.8480362234177,9.702747723617517,249.63164305386448,4,1832.5485071912362
560.5269898244919,4.665849763156084,514.4835490550165,12,4692.917413455287
683.1470026088127,6.0667815354280155,923.0962018536972,13,6731.702700820466
388.25780176242284,5.512014527845945,475.6857026349584,3,2664.027820544933
358.32404743990196,8.183387537973426,553.3921802283104,1,5177.5178275700055
429.4006304046617,1.0,664.7081535529395,14,3265.866542497735
491.5031092705963,6.014059701343624,73.39741624720148,5,4546.232464826233
102.85146681889529,2.3292754036105645,459.5782778155393,5,5956.946392559296
525.9275954347722,8.880800086954473,50.0,5,6274.136295503542
407.5441331109711,10.613966381892794,566.3622747638432,8,6510.872908623542
558.0356421053225,6.441161979029859,461.7117509525535,9,6611.751424777689
621.3989725748766,3.696792462771072,126.69510693999877,1,3851.3476388488607
27.749504069415423,2.9111633955757297,419.7160549705633,4,9576.812815468224
100.32945007949857,5.390464808751766,769.0338197762301,9,9601.058236872279
718.566038223059,7.250075776965993,429.3562856975926,6,5305.1478050317755
464.41825115928543,9.561675593997197,429.75895740416837,2,4548.006518805493
159.01262739177335,1.0,259.89554580390075,4,6233.497238638642
507.6295831490018,1.0,126.1863079952056,3,2504.640896155525
