precio_producto,descuento_pct,dias_entrega,historial_devoluciones,num_productos_pedido,edad_cliente,DEVOLUCION
74.90142459033697,29.03495422771425,7,1,3,24,0
55.85207096486446,25.275438019493198,7,0,5,19,0
79.43065614302077,7.203939300659979,8,1,5,18,0
105.69089569224076,31.19992427644912,9,1,4,40,1
52.97539875829992,13.682020893038583,9,2,2,42,0
52.97589129152458,24.391715927200625,2,0,2,35,0
107.37638446522175,4.113616213853094,7,1,5,61,0
83.02304187458726,22.979202860681152,7,0,1,24,0
45.91576842195144,15.323173402141016,4,1,2,68,0
76.27680130757894,41.119060559267716,9,1,1,20,0
46.097469215626134,2.848936349868414,8,3,1,46,1
46.028107392892295,20.930363745916498,1,3,1,27,1
67.25886814698103,22.9215712065719,2,1,1,60,0
5.0,36.250303814955934,2,2,4,22,0
8.252465024609016,28.714378754510548,8,0,4,51,0
43.13137412277082,33.360616859709054,1,2,5,25,0
29.615066389967286,38.8524642825878,4,0,4,31,0
69.42741997785822,43.11014868290944,5,0,2,57,1
32.75927773436368,15.693774836123525,9,1,4,23,0
17.630888959941252,26.901135268195148,7,1,2,18,0
103.96946306764661,42.005403921959996,8,2,2,50,1
53.22671098540393,49.472556548252825,9,1,1,57,1
62.02584614063772,44.47596555218816,7,0,5,28,0
17.257554413596296,18.57336313121884,5,0,1,67,0
43.66851826424452,9.758325860932521,5,3,1,41,1
63.32767769129598,24.469626870329435,6,1,4,27,0
25.470192677330914,37.08207259180211,5,3,4,61,1
71.27094055037016,24.62845353766488,9,1,2,69,0
41.980839302435854,24.159043165683425,3,1,4,40,0
51.24918750620169,41.91152105409003,3,0,4,33,0
41.948801633118094,18.070188953359317,7,4,3,54,0
115.56834553526814,42.98973374058228,7,1,2,33,0
59.59508325786198,20.340240047586178,6,1,2,61,0
28.26867213132299,16.41165528391697,3,2,3,48,0
84.67634736309567,22.69949555998495,7,0,2,23,0
23.374690500869335,38.12234793374342,5,0,5,47,0
66.26590785014267,6.300101393199714,7,3,5,54,1
5.0,9.82096079360087,2,0,3,18,0
20.154418533047085,47.5722412831546,6,2,4,68,0
65.90583707607371,8.77458136906787,8,1,5,59,0
82.1539973998623,28.38636589655273,1,3,3,42,0
65.14104843569912,28.965723333096893,4,1,5,63,0
56.53055152835278,24.48122310251224,1,2,1,38,0
50.966889132321334,32.23726242884093,1,0,3,52,0
15.644340288977176,11.491336289880921,8,2,2,55,0
38.40467374815874,27.633113388837412,7,1,5,22,0
46.180836871206374,18.608662762344856,1,0,2,66,0
91.71366678656747,33.08336298145945,2,0,3,67,1
70.30854868705384,7.061177168657473,4,3,5,29,1
7.108795339117982,28.543870841973813,1,1,2,22,0
69.72251908184384,9.263517769166185,3,0,4,26,0
48.447531587510504,13.93215315575182,8,3,4,61,1
39.69233999082124,10.93549001617916,8,1,1,69,0
78.35028866522603,9.141888993440855,8,2,3,26,0
90.92998567487854,41.28554757803335,6,0,2,52,1
87.93840357348596,14.285378383044517,6,2,1,18,0
34.82347430332084,46.35618909322247,5,1,3,64,1
50.723628724463566,48.49632626725954,9,3,4,27,1
69.93790294210692,28.563023496854868,4,0,2,63,0
89.26635381367078,7.15005613328632,7,0,5,56,0
45.6247728646413,18.727412168979065,1,0,4,53,1
