Descripción;Unidades;Precio Unitario
Manzanas orgánicas Granny Smith;3;2.99
Leche entera fresca de granja;2;1.49
Docena de huevos de gallinas camperas;1;3.99
Pan de masa madre integral recién horneado;2;2.29
Arroz basmati de grano largo;1;4.79
Aceite de oliva virgen extra de primera prensada;1;7.99
Paquete de pasta de trigo integral penne;2;1.99
Tomates de viña maduros y jugosos;3;3.49
Bolsa de zanahorias frescas orgánicas;2;1.79
Pechugas de pollo de corral sin piel ni hueso;1;5.99
Filetes de salmón salvaje del Atlántico;2;9.99
Yogures naturales de leche entera;3;0.99
Queso cheddar madurado 12 meses;1;4.49
Pimientos rojos dulces de cultivo local;2;1.29
Cebollas amarillas grandes y dulces;3;0.79
Judías verdes frescas y tiernas;2;2.49
Aguacates Hass maduros y cremosos;2;1.99
Naranjas de Valencia recién cosechadas;3;3.99
Patatas rojas orgánicas de piel fina;2;2.49
Plátanos de Canarias extra dulces y maduros;2;1.29
Cabeza de ajo morado fresco;2;0.49
Hojas de espinacas orgánicas frescas;1;2.99
Miel pura de flores silvestres;1;5.99
Pan integral de masa madre con semillas;1;3.49
Mantequilla de leche de vacas alimentadas con pasto;1;2.99
