progress_id,student_id,course_id,lesson_number,minutes_watched,completed,progress_date
1,1015,9,13,24.711407703456885,0,2023-01-22 14:36:00
2,1199,15,13,1.1940322367202612,0,2023-08-11 20:02:00
3,1101,1,15,11.499746580715193,0,2023-07-16 06:00:00
4,1151,12,14,7.145067673027069,0,2023-04-04 13:06:00
5,1155,3,8,3.877441291476962,0,2023-02-04 06:46:00
6,1116,11,11,22.87636787601243,0,2023-09-28 04:38:00
7,1007,2,18,24.95108958629647,0,2023-01-15 11:36:00
8,1121,16,36,5.334308989713367,0,2023-05-19 05:47:00
9,1091,9,10,1.9224014272327263,0,2023-06-11 20:42:00
10,1163,15,1,7.601306744332009,1,2023-02-12 02:15:00
11,1089,12,29,21.036686033593497,0,2023-08-28 18:30:00
12,1135,1,5,8.053361996783602,0,2023-02-21 11:37:00
13,1185,13,13,2.3656355319429174,0,2023-08-18 23:09:00
14,1059,14,1,2.2598124148727177,0,2023-07-28 03:59:00
15,1177,8,23,11.258147256866474,0,2023-01-01 05:48:00
16,1027,8,8,23.363817353478872,1,2023-01-26 06:59:00
17,1100,12,3,7.862090599351166,0,2023-10-03 01:34:00
18,1040,1,3,11.25178433682505,0,2023-07-10 06:41:00
19,1191,11,7,3.446411329182605,0,2023-03-13 13:33:00
20,1154,8,4,12.845747038455546,0,2023-05-02 14:21:00
21,1190,10,35,17.717129542856895,0,2023-09-16 03:52:00
22,1144,19,15,7.50760866825327,0,2023-05-15 22:06:00
23,1160,11,8,8.121071404688434,1,2023-05-17 12:50:00
24,1156,7,3,21.207400609750508,0,2023-06-21 10:37:00
25,1140,11,7,1.24872933633225,0,2023-07-19 20:42:00
26,1045,17,18,16.27529700520233,1,2023-07-18 04:51:00
27,1034,1,11,10.453231238598807,1,2023-09-17 03:02:00
28,1133,8,11,8.161132325475256,1,2023-08-26 12:33:00
29,1081,6,1,16.78225197385305,0,2023-05-18 14:05:00
30,1114,18,6,21.032044522952923,0,2023-05-09 12:30:00
31,1196,6,8,14.401410791888168,1,2023-06-16 07:03:00
32,1046,5,1,1.7462709266333443,0,2023-03-29 03:53:00
33,1152,13,29,12.073628579813825,0,2023-03-28 00:52:00
34,1193,19,10,12.106238581455354,1,2023-08-08 03:20:00
35,1009,8,19,14.05116387531059,0,2023-06-22 15:03:00
36,1055,9,3,17.103013625045254,1,2023-04-13 23:44:00
37,1029,17,4,1.4636416848241707,1,2023-02-11 00:08:00
38,1108,3,11,13.048302985594011,1,2023-05-14 16:29:00
39,1004,19,15,15.119386465134177,0,2023-02-04 06:37:00
40,1118,11,1,9.240481273985246,0,2023-04-20 09:40:00
41,1032,17,9,17.040765438170393,1,2023-05-17 21:28:00
42,1117,19,43,6.476265211100107,1,2023-06-23 03:36:00
43,1064,2,19,8.616935993618839,0,2023-01-15 22:17:00
44,1145,8,13,24.106128338183822,0,2023-09-19 05:13:00
45,1176,19,26,9.353688900667363,1,2023-01-05 08:18:00
46,1010,7,16,9.31602129677788,0,2023-08-09 21:43:00
47,1084,17,4,15.296335259754766,0,2023-01-25 05:42:00
48,1025,6,1,24.303407916641444,0,2023-01-11 17:34:00
49,1062,19,20,24.593930702872008,0,2023-01-27 02:46:00
50,1085,6,13,14.911791128231584,1,2023-08-09 05:13:00
51,1058,2,1,1.0260884753183808,0,2023-03-02 01:05:00
52,1026,6,5,22.615757218441594,0,2023-10-01 14:41:00
53,1176,5,5,14.685711149849155,0,2023-08-22 05:03:00
54,1160,19,14,9.78391379895846,0,2023-03-04 05:48:00
55,1097,20,27,20.900683384382518,0,2023-09-22 12:49:00
56,1104,4,23,10.595979024404922,1,2023-06-24 06:37:00
57,1098,17,14,1.817068148806352,0,2023-01-10 11:15:00
58,1128,11,8,20.70573335336845,0,2023-02-23 03:18:00
59,1148,4,4,14.100625624474294,0,2023-01-10 07:29:00
60,1054,13,19,9.115444917380708,0,2023-05-05 21:08:00
61,1005,20,47,7.021417032492429,0,2023-01-13 21:01:00
62,1196,17,22,15.251139025970215,0,2023-02-10 07:02:00
63,1094,9,4,5.993189157402403,0,2023-02-17 23:04:00
64,1132,4,30,8.772421277368078,0,2023-04-27 05:59:00
65,1101,14,3,16.276727425935604,0,2023-06-03 13:26:00
66,1002,19,31,22.157066809742368,1,2023-01-18 07:46:00
67,1180,3,9,13.78936788139837,1,2023-03-09 18:56:00
68,1022,14,5,19.218553559178222,0,2023-09-10 08:25:00
69,1052,8,13,19.313454490313006,0,2023-04-01 00:22:00
70,1164,1,14,16.944494863825284,1,2023-09-11 21:09:00
71,1082,10,10,6.900120104332424,0,2023-09-20 04:33:00
72,1144,18,16,21.802926355605805,1,2023-03-30 09:20:00
73,1084,16,31,11.470615735349597,0,2023-09-20 07:55:00
74,1077,8,5,2.0610578544568137,0,2023-01-16 02:55:00
75,1109,1,7,6.870704081668603,1,2023-06-03 05:29:00
76,1000,12,27,19.373160498383577,0,2023-10-01 15:31:00
77,1050,8,6,2.659200059619745,0,2023-05-02 01:57:00
78,1172,16,26,4.536745651717869,1,2023-01-11 08:47:00
79,1003,18,2,17.661443585000907,1,2023-04-05 03:53:00
80,1189,4,45,22.422418953460973,0,2023-08-01 15:50:00
81,1192,6,13,16.209568121383285,0,2023-04-11 22:32:00
82,1112,12,13,6.334985291909311,0,2023-02-13 22:26:00
83,1031,9,18,2.2819303179891666,1,2023-04-23 09:05:00
84,1033,15,1,15.763037981207482,1,2023-05-07 19:20:00
85,1091,16,40,2.1375658703479354,1,2023-03-07 22:51:00
86,1094,12,22,15.705329246602169,1,2023-04-21 12:29:00
87,1071,14,16,6.413918659866281,0,2023-06-23 03:07:00
88,1038,13,29,22.71174549781191,1,2023-05-18 07:56:00
89,1153,2,2,12.402224043696684,1,2023-09-20 01:14:00
90,1161,3,8,6.374522399432696,1,2023-05-06 05:45:00
91,1181,10,11,21.4754875974062,0,2023-08-04 16:24:00
92,1117,9,17,7.0968495627402,1,2023-06-11 20:58:00
93,1002,20,43,8.358377836597011,0,2023-09-21 19:55:00
94,1122,8,8,21.022669577330937,0,2023-05-13 08:28:00
95,1049,10,22,8.411008715214303,0,2023-02-19 15:06:00
96,1011,19,4,10.843930461535297,0,2023-08-25 20:28:00
97,1192,3,11,9.343976098212798,0,2023-03-26 07:31:00
98,1053,5,8,3.7936076279290205,1,2023-02-07 11:25:00
99,1132,3,9,1.9334994939238275,0,2023-01-14 16:11:00
100,1056,16,26,18.38897617746355,0,2023-08-19 02:02:00
101,1144,17,2,16.483290974457297,0,2023-01-14 08:01:00
102,1111,15,16,7.776785621249372,1,2023-07-07 04:45:00
103,1046,3,6,8.094378999637083,0,2023-03-15 03:51:00
104,1150,12,21,23.680138792208353,0,2023-08-20 10:28:00
105,1084,9,8,24.704107053603813,0,2023-03-04 00:27:00
106,1141,12,14,12.362437677608645,0,2023-09-03 11:44:00
107,1065,15,16,20.258841891555846,1,2023-06-19 21:16:00
108,1074,2,12,18.68046102086477,1,2023-02-21 23:32:00
109,1178,18,5,8.135625028289127,1,2023-08-12 21:09:00
110,1102,20,26,2.4055050524914803,0,2023-09-15 03:37:00
111,1165,12,24,4.4213501712385606,0,2023-06-16 04:41:00
112,1191,4,32,21.119058808018323,0,2023-02-01 15:22:00
113,1037,16,41,18.549131679910747,0,2023-04-21 15:06:00
114,1049,16,2,16.944036267094667,0,2023-08-30 07:06:00
115,1097,1,9,4.13557196071956,0,2023-06-12 07:08:00
116,1081,2,20,16.358336498812594,0,2023-06-04 02:55:00
117,1029,3,12,19.531655955834772,1,2023-05-05 02:01:00
118,1078,20,2,21.654441996646973,1,2023-07-13 12:52:00
119,1090,17,10,1.3175507006468372,0,2023-06-27 12:44:00
120,1178,20,1,17.427402445083466,0,2023-02-15 07:14:00
121,1190,1,4,1.4583437344769061,1,2023-01-13 17:40:00
122,1051,20,12,17.964948293042525,0,2023-02-18 04:36:00
123,1165,6,9,16.254912753568114,1,2023-08-29 20:39:00
